證券代碼,簡稱,年月日,收盤價(元),成交量(千股)
50,台灣50       ,2011/1/3,52.85,12033
50,台灣50       ,2011/1/4,52.72,11093
50,台灣50       ,2011/1/5,51.86,20764
50,台灣50       ,2011/1/6,51.77,6883
50,台灣50       ,2011/1/7,51.3,12300
50,台灣50       ,2011/1/10,51.47,4241
50,台灣50       ,2011/1/11,52.33,12746
50,台灣50       ,2011/1/12,52.54,5713
50,台灣50       ,2011/1/13,52.5,10156
50,台灣50       ,2011/1/14,52.46,7317
50,台灣50       ,2011/1/17,52.33,5093
50,台灣50       ,2011/1/18,52.76,9691
50,台灣50       ,2011/1/19,53.36,15346
50,台灣50       ,2011/1/20,53.02,5216
50,台灣50       ,2011/1/21,52.46,11627
50,台灣50       ,2011/1/24,52.42,17731
50,台灣50       ,2011/1/25,52.85,18634
50,台灣50       ,2011/1/26,53.32,20930
50,台灣50       ,2011/1/27,53.71,17156
50,台灣50       ,2011/1/28,54.18,11849
50,台灣50       ,2011/2/8,53.83,11116
50,台灣50       ,2011/2/9,53.32,12233
50,台灣50       ,2011/2/10,52.33,22906
50,台灣50       ,2011/2/11,50.65,43872
50,台灣50       ,2011/2/14,51.08,11080
50,台灣50       ,2011/2/15,51.38,9824
50,台灣50       ,2011/2/16,51.47,20565
50,台灣50       ,2011/2/17,51.3,6957
50,台灣50       ,2011/2/18,52.16,9831
50,台灣50       ,2011/2/21,52.16,14830
50,台灣50       ,2011/2/22,51.47,31460
50,台灣50       ,2011/2/23,50.74,28150
50,台灣50       ,2011/2/24,50.74,28688
50,台灣50       ,2011/2/25,51.17,34452
50,台灣50       ,2011/3/1,51.56,8004
50,台灣50       ,2011/3/2,51.13,22951
50,台灣50       ,2011/3/3,51.77,28035
50,台灣50       ,2011/3/4,52.16,12108
50,台灣50       ,2011/3/7,51.77,14594
50,台灣50       ,2011/3/8,51.81,2590
50,台灣50       ,2011/3/9,51.77,11164
50,台灣50       ,2011/3/10,51.17,8147
50,台灣50       ,2011/3/11,50.61,22485
50,台灣50       ,2011/3/14,50.57,28008
50,台灣50       ,2011/3/15,49.45,62123
50,台灣50       ,2011/3/16,49.28,20893
50,台灣50       ,2011/3/17,49.28,20325
50,台灣50       ,2011/3/18,49.66,13046
50,台灣50       ,2011/3/21,49.96,18789
50,台灣50       ,2011/3/22,50.22,17030
50,台灣50       ,2011/3/23,50.31,13061
50,台灣50       ,2011/3/24,50.52,13112
50,台灣50       ,2011/3/25,51.04,12811
50,台灣50       ,2011/3/28,50.87,6845
50,台灣50       ,2011/3/29,50.95,5977
50,台灣50       ,2011/3/30,51.25,11142
50,台灣50       ,2011/3/31,51.21,8065
50,台灣50       ,2011/4/1,51.47,9617
50,台灣50       ,2011/4/6,52.59,30707
50,台灣50       ,2011/4/7,52.72,20231
50,台灣50       ,2011/4/8,52.54,11889
50,台灣50       ,2011/4/11,52.54,16414
50,台灣50       ,2011/4/12,51.64,14749
50,台灣50       ,2011/4/13,51.94,9151
50,台灣50       ,2011/4/14,51.9,5748
50,台灣50       ,2011/4/15,51.3,3910
50,台灣50       ,2011/4/18,51.21,5204
50,台灣50       ,2011/4/19,50.91,14045
50,台灣50       ,2011/4/20,51.86,11997
50,台灣50       ,2011/4/21,53.06,34318
50,台灣50       ,2011/4/22,52.97,22105
50,台灣50       ,2011/4/25,52.85,26924
50,台灣50       ,2011/4/26,52.63,23837
50,台灣50       ,2011/4/27,53.45,46502
50,台灣50       ,2011/4/28,53.45,30767
50,台灣50       ,2011/4/29,53.32,50487
50,台灣50       ,2011/5/3,53.45,26662
50,台灣50       ,2011/5/4,53.15,19729
50,台灣50       ,2011/5/5,53.53,22314
50,台灣50       ,2011/5/6,53.28,24042
50,台灣50       ,2011/5/9,53.58,15561
50,台灣50       ,2011/5/10,53.58,8415
50,台灣50       ,2011/5/11,53.36,9690
50,台灣50       ,2011/5/12,53.53,17883
50,台灣50       ,2011/5/13,53.36,7629
50,台灣50       ,2011/5/16,52.72,16444
50,台灣50       ,2011/5/17,52.67,16743
50,台灣50       ,2011/5/18,52.97,5864
50,台灣50       ,2011/5/19,52.5,17153
50,台灣50       ,2011/5/20,52.54,15265
50,台灣50       ,2011/5/23,51.9,38595
50,台灣50       ,2011/5/24,51.99,26103
50,台灣50       ,2011/5/25,51.81,22809
50,台灣50       ,2011/5/26,52.33,7274
50,台灣50       ,2011/5/27,52.11,11665
50,台灣50       ,2011/5/30,52.03,10601
50,台灣50       ,2011/5/31,53.32,10825
50,台灣50       ,2011/6/1,53.62,26708
50,台灣50       ,2011/6/2,53.23,18610
50,台灣50       ,2011/6/3,53.49,14876
50,台灣50       ,2011/6/7,53.49,10967
50,台灣50       ,2011/6/8,53.32,14003
50,台灣50       ,2011/6/9,53.32,8665
50,台灣50       ,2011/6/10,52.07,27188
50,台灣50       ,2011/6/13,51.38,21849
50,台灣50       ,2011/6/14,52.24,11523
50,台灣50       ,2011/6/15,52.03,11156
